espece_botanique_code,espece_botanique_title,qualifiant_code,periode_semis_code,culture_EDI,id_parcelle_pv,debut_traitement,type_travail_code,type_travail_title,surface_evt,id_parcelle_vi,uc_name,amm_id,quantite_intrant,unite_intrant,dose
ZAP,Betterave,ZAN,,,0120,201708150000,SEK,Epandage organique,"7,51",0120,Lisier de porc maternité gest.,,000262850,LTR,35000
ZAP,Betterave,ZAN,,,0120,201708150000,SEK,Epandage organique,"7,51",0120,Lisier de porc maternité gest.,,000262850,LTR,35000
ZDS,Pomme de terre,ZLR,,,0126,201709150000,SEK,Epandage organique,000000006,0126,Lisier de porc maternité gest.,,000210000,LTR,35000
ZDS,Pomme de terre,ZLR,,,0146,201709150000,SEK,Epandage organique,000000004,0146,Lisier de porc maternité gest.,,000140000,LTR,35000
ZDS,Pomme de terre,ZLR,,,0126,201709150000,SEK,Epandage organique,000000006,0126,Lisier de porc maternité gest.,,000210000,LTR,35000
ZDS,Pomme de terre,ZLR,,,0146,201709150000,SEK,Epandage organique,000000004,0146,Lisier de porc maternité gest.,,000140000,LTR,35000
ZAR,Blé tendre,,ZFB,,0125,201710010000,SEK,Epandage organique,"7,39",0125,Lisier de porc maternité gest.,,000258650,LTR,35000
ZAR,Blé tendre,,ZFB,,0137,201710010000,SEK,Epandage organique,000000003,0137,Lisier de porc maternité gest.,,000105000,LTR,35000
ZAR,Blé tendre,,ZFB,,0125,201710010000,SEK,Epandage organique,"7,39",0125,Lisier de porc maternité gest.,,000258650,LTR,35000
ZAR,Blé tendre,,ZFB,,0137,201710010000,SEK,Epandage organique,000000003,0137,Lisier de porc maternité gest.,,000105000,LTR,35000
ZDH,Orge,ZMV,ZFB,,0139,201710050000,SET,Semis classique,"1,5726",0139,QUADRIGA,,"196,575",KGM,125
ZDH,Orge,ZMV,ZFB,,0139,201710050000,SET,Semis classique,"1,5726",0139,QUADRIGA,,"196,575",KGM,125
ZDH,Orge,ZMV,ZFB,,0131,201710060000,SET,Semis classique,"5,5",0131,TEKTOO,,011605000,NAR,2110000
ZDH,Orge,ZMV,ZFB,,0131,201710060000,SET,Semis classique,"5,5",0131,TEKTOO,,011605000,NAR,2110000
ZDH,Orge,ZMV,ZFB,,0138,201710070000,SET,Semis classique,"7,8911",0138,KWS TONIC,,"662,8524",KGM,84
ZDH,Orge,ZMV,ZFB,,0141,201710070000,SET,Semis classique,"4,2295",0141,ZOO,,"355,278",KGM,84
ZDH,Orge,ZMV,ZFB,,0138,201710070000,SET,Semis classique,"7,8911",0138,KWS TONIC,,"662,8524",KGM,84
